Азербайджан	68	75.5	26	2.3
Албания	70	75.8	26	2.66
Армения	70.3	76.3	20	2.4
Беларусь	64.5	75.1	17	1.65
Болгария	67.8	74.9	14	1.5
Босния и Герцеговина	70.5	75.9	13	1.6
Венгрия	64.5	73.8	15	1.71
Грузия	69.5	77.6	18	2.1
Казахстан	66.5	75	27	2.37
Куба	74.2	78	11	1.82
Кыргызстан	66.5	73.8	32	3.3
Латвия	63.3	74.9	14	1.64
Литва	64.9	76	13	1.83
Македония	69.8	75.8	24	1.97
Молдова	63.5	71.6	25	2.1
Польша	66.7	75.7	13	1.88
Россия	61.5	73.6	19	1.53
Россия Нов	68	78.9	4.2	1.41
Румыния	66.6	73.3	23	1.5
Слования	66.5	75.4	12	1.92
Словения	68.8	78.1	7	1.46
Таджикистан	68.8	74	43	4.5
Туркменистан	63.5	70	51	3.62
Узбекистан	67.5	73.2	38	3.54
Украина	64.2	74.2	16	1.64
Хорватия	68.1	76.5	9	1.65
Чешская республика	67.8	74.9	9	1.83
Эстония	63.8	74.8	16	1.61
Югославия	70.3	75.3	18	2.03
